Overview,Series_Title,Released_Year
"Cuando dos hermanos se ven obligados a pelear en la Guerra de Corea, el anciano decide tomar las misiones más riesgosas si ayudará a proteger a los más jóvenes de la batalla.",Taegukgi hwinalrimyeo,2004
"Nueve años después de que Jesse y Celine se conocieron, se encuentran nuevamente en la etapa francesa de la gira de libros de Jesse.",Before Sunset,2004
Un gángster se propone cumplir el sueño de su padre de convertirse en médico.,Munna Bhai M.B.B.S.,2003
"En una pequeña provincia coreana en 1986, dos detectives luchan con el caso de que varias mujeres jóvenes son violadas y asesinadas por un culpable desconocido.",Salinui chueok,2003
"Tres amigos de la infancia inseparables están fuera de la universidad.Nada se produce entre ellos, hasta que cada cada uno se enamora, y sus enfoques muy diferentes de las relaciones crean tensión.",Dil Chahta Hai,2001
"Después de despertar de un coma de cuatro años, un ex asesino genera venganza sobre el equipo de asesinos que la traicionaron.",Kill Bill: Vol. 1,2003
"Después de que su hijo es capturado en la gran barrera de arrecife y llevado a Sydney, un tímido pez payaso se dirige a un viaje para llevarlo a casa.",Finding Nemo,2003
"Apenas 21 años, sin embargo, Frank es un falsificador experto que ha fallecido como médico, abogado y piloto.El agente del FBI Carl se obsesiona con rastrear al estafador, que solo se deleita en la búsqueda.",Catch Me If You Can,2002
"Un horrible accidente automovilístico conecta tres historias, cada una que involucra personajes que se enfrentan a la pérdida, el arrepentimiento y las duras realidades de la vida, todo en nombre del amor.",Amores perros,2000
"Para impulsar la ciudad, los monstruos tienen que asustar a los niños para que griten.Sin embargo, los niños son tóxicos para los monstruos, y después de que un niño pase, 2 monstruos se dan cuenta de que las cosas pueden no ser lo que piensan.","Monsters, Inc.",2001
Finalización teatral concurrente de la serie de televisión Shin Seiki Evangerion (1995).,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997
La gente de una pequeña aldea en la India victoriana apuesta su futuro en un juego de cricket contra sus despiadados gobernantes británicos.,Lagaan: Once Upon a Time in India,2001
Un niño que se comunica con espíritus busca la ayuda de un psicólogo infantil desanimado.,The Sixth Sense,1999
"Un bebé, descubierto en 1900 en un forro oceánico, se convierte en un prodigio musical, nunca poniendo un pie en la tierra.",La leggenda del pianista sull'oceano,1998
Un vendedor de seguros descubre que toda su vida es en realidad un reality show.,The Truman Show,1998
"Matko y su hijo Zare viven a orillas del río Danubio y pasan a través de un ajetreo y básicamente haciendo cualquier cosa para ganarse la vida.Para pagar una deuda comercial, Matko acuerda casarse con Zare con la hermana de un gángster local.","Crna macka, beli macor",1998
"Jeff ""The Dude"" Lebowski, confundido con un millonario del mismo nombre, busca restitución por su alfombra en ruinas y alista a sus amigos de bolos para ayudar a conseguirlo.",The Big Lebowski,1998
"Dos vecinos, una mujer y un hombre, forman un fuerte vínculo después de que ambos sospechan actividades extramatrimoniales de sus cónyuges.Sin embargo, aceptan mantener su vínculo platónico para no cometer errores similares.",Fa yeung nin wah,2000
"Renton, profundamente inmerso en la escena de drogas de Edimburgo, trata de limpiar y salir, a pesar del encanto de las drogas y la influencia de los amigos.",Trainspotting,1996
El crimen inepto de Jerry Lundegaard se desmorona debido a que el su y sus secuaces y el persistente trabajo policial de la bastante embarazada Marge Gunderson.,Fargo,1996
"Un grupo de socialistas serbios se prepara para la guerra en un metro surrealista lleno de fiestas, tragedias, amor y odio.",Underground,1995
24 horas en la vida de tres jóvenes en los suburbios franceses el día después de un violento disturbio.,La haine,1995
"Cuando Raj se encuentra con Simran en Europa, no es amor a primera vista, sino cuando Simran se muda a la India para un matrimonio arreglado, el amor hace sentir su presencia.",Dilwale Dulhania Le Jayenge,1995
"Un joven y una mujer se encuentran en un tren en Europa y terminan pasando una noche juntos en Viena.Desafortunadamente, ambos saben que esta probablemente será su única noche juntos.",Before Sunrise,1995
Un modelo descubre que un juez retirado está interesado en invadir la privacidad de las personas.,Trois couleurs: Rouge,1994
"Dos policías melancólicos de Hong Kong se enamoran: uno con una misteriosa figura femenina del inframundo, el otro con un servidor hermoso y etéreo en un restaurante nocturno que frecuenta.",Chung Hing sam lam,1994
Un paleontólogo pragmático que visita un parque temático casi completo tiene la tarea de proteger a un par de niños después de que una falla de energía hace que los dinosaurios clonados del parque se suelten.,Jurassic Park,1993
La confesión coaccionada de un hombre a un I.R.A.Bombardeo no cometió resultados en el encarcelamiento de su padre también.Un abogado inglés lucha para liberarlos.,In the Name of the Father,1993
Dos niños se reúnen en una escuela de entrenamiento de ópera en Pekín en 1924. Su amistad resultante abarcará casi 70 años y soportará algunos de los tiempos más problemáticos en la historia de China.,Ba wang bie ji,1993
"Una mujer joven se convierte en la cuarta esposa de un señor rico, y debe aprender a vivir con las estrictas reglas y tensiones dentro del hogar.",Dà hóng denglong gaogao guà,1991
El maestro Maverick John Keating usa la poesía para envalentonar a sus estudiantes de internado a nuevas alturas de autoexpresión.,Dead Poets Society,1989
"Después de la muerte de uno de sus amigos, un escritor relata un viaje de la infancia con sus amigos para encontrar el cuerpo de un niño desaparecido.",Stand by Me,1986
"Chris Taylor, un recluta neófito en Vietnam, se encuentra atrapado en una batalla de voluntades entre dos sargentos, uno bueno y el otro mal.Un examen astuto de la brutalidad de la guerra y la dualidad del hombre en conflicto.",Platoon,1986
"Travis Henderson, un vagabundo sin rumbo que ha estado desaparecido durante cuatro años, sale del desierto y debe volver a conectarse con la sociedad, él mismo, su vida y su familia.","Paris, Texas",1984
La guerrera y la princesa pacifista Nausicaä luchan desesperadamente para evitar que dos naciones en guerra se destruyan a sí mismas y a su planeta moribundo.,Kaze no tani no Naushika,1984
Un equipo de investigación en la Antártida es cazado por un extranjero que cambia de forma que asume la aparición de sus víctimas.,The Thing,1982
Una estrella de rock confinada pero con problemas desciende a la locura en medio de su aislamiento físico y social de todos.,Pink Floyd: The Wall,1982
"La historia de Brian Sweeney Fitzgerald, un hombre extremadamente decidido que tiene la intención de construir una ópera en medio de una jungla.",Fitzcarraldo,1982
"Dos jóvenes niños suecos experimentan las muchas comedias y tragedias de su familia, los Ekdahls.",Fanny och Alexander,1982
"Un corredor de cuchillas debe perseguir y terminar cuatro replicantes que robaron un barco en el espacio, y han regresado a la Tierra para encontrar a su creador.",Blade Runner,1982
"Un cirujano victoriano rescata a un hombre muy desfigurado que es maltratado mientras raspa la vida como un fanático del espectáculo lateral.Detrás de su monstruosa fachada, se revela una persona de bondad, inteligencia y sofisticación.",The Elephant Man,1980
"Nacido en la Navidad original en el establo de al lado de Jesucristo, Brian de Nazaret pasa su vida confundiendo con un Mesías.",Life of Brian,1979
Un examen en profundidad de las formas en que la Guerra de Vietnam de los Estados Unidos impacta e interrumpe la vida de las personas en una pequeña ciudad industrial en Pensilvania.,The Deer Hunter,1978
Un pequeño boxeador tiene una oportunidad supremamente rara de luchar contra un campeón de peso pesado en un combate en el que se esfuerza por ir a la distancia para su autoestima.,Rocky,1976
Una red de televisión explota cínicamente un trastorno y revelaciones del antiguo ancla trastornada sobre los medios de comunicación para sus propios beneficios.,Network,1976
Un pícaro irlandés gana el corazón de una viuda rica y asume la posición aristocrática de su esposo muerto en la Inglaterra del siglo XVIII.,Barry Lyndon,1975
"Un hombre moribundo de unos cuarenta años recuerda su pasado.Su infancia, su madre, la guerra, los momentos personales y las cosas que cuentan sobre la historia reciente de toda la nación rusa.",Zerkalo,1975
"Un detective privado contratado para exponer a un adúltero se encuentra atrapado en una red de engaño, corrupción y asesinato.",Chinatown,1974
"Durante la Gran Depresión, un estafador se encuentra cargado de una niña que puede o no ser su hija, y los dos forjan una asociación poco probable.",Paper Moon,1973
"Cuando una mujer que muere de cáncer a principios del siglo XX, Suecia, es visitada por sus dos hermanas, los sentimientos de larga data entre los hermanos suben a la superficie.",Viskningar och rop,1972
Un psicólogo es enviado a una estación que orbita un planeta lejano para descubrir qué ha causado que la tripulación se vuelva loca.,Solaris,1972
"Después de que el sitán profesional, Jef Costello, es visto por testigos sus esfuerzos para proporcionar una coartada que lo lleva más a una esquina.",Le samouraï,1967
"Un hombre del sur relajado es sentenciado a dos años en una prisión rural, pero se niega a conformarse.",Cool Hand Luke,1967
Una enfermera se pone a cargo de una actriz muda y descubre que sus personas se están fusionando.,Persona,1966
"La vida, los tiempos y las aflicciones del iconógrafo ruso del siglo XV St. Andrei Rublev.",Andrei Rublev,1966
"En la década de 1950, el miedo y la violencia se intensifican a medida que la gente de Argel lucha por la independencia del gobierno francés.",La battaglia di Algeri,1966
Los invitados en una cena de clase alta se encuentran incapaces de irse.,El ángel exterminador,1962
Una ex estrella infantil atormenta a su hermana parapléjica en su mansión en descomposición de Hollywood.,What Ever Happened to Baby Jane?,1962
"Un astuto samurai ayuda a un joven y sus compañeros clanes a salvar a su tío, que ha sido enmarcado y encarcelado por un superintendente corrupto.",Sanjuro,1962
Un senador regresa a una ciudad occidental para el funeral de un viejo amigo y cuenta la historia de sus orígenes.,The Man Who Shot Liberty Valance,1962
"En la Segunda Guerra Mundial, el huérfano soviético de doce años Ivan Bondarev trabaja para el ejército soviético como un explorador detrás de las líneas alemanas y ataca una amistad con tres oficiales soviéticos simpatizantes.",Ivanovo detstvo,1962
"Una joven virgen inocente pero mimada y el sirviente embarazada y celosa de su familia se propusieron entregar velas a la iglesia, pero solo uno regresa de los eventos que ocurren en el bosque en el camino.",Jungfrukällan,1960
"Basado en un caso de la vida real en 1925, dos grandes abogados argumentan el caso a favor y en contra de un maestro de ciencias acusado del delito de evolución de la enseñanza.",Inherit the Wind,1960
"Un niño, que se fue sin atención, profundiza en una vida de delitos menores.",Les quatre cents coups,1959
"Después de que un príncipe judío es traicionado y enviado a la esclavitud por un amigo romano, recupera su libertad y regresa para vengarse.",Ben-Hur,1959
"Atraído por el oro, dos campesinos codiciosos escoltan a una princesa y su general en las líneas enemigas.",Kakushi-toride no san-akunin,1958
Una prostituta waifish deambula por las calles de Roma buscando amor verdadero pero solo encuentra angustia.,Le notti di Cabiria,1957
"Un general endurecido por la guerra, atravesado por su ambiciosa esposa, trabaja para cumplir una profecía para que se convertiría en el Castillo web de Lord of Spider.",Kumonosu-jô,1957
"Los prisioneros de guerra británicos se ven obligados a construir un puente ferroviario a través del río Kwai para sus captores japoneses, sin saber que las fuerzas aliadas planean destruirlo.",The Bridge on the River Kwai,1957
Un ex luchador de premios se convirtió en Longshoreman Traughs para enfrentarse a sus corruptos jefes sindicales.,On the Waterfront,1954
"En una decrépita aldea sudamericana, se contratan a cuatro hombres para transportar un envío urgente de nitroglicerina sin el equipo que lo haría seguro.",Le salaire de la peur,1953
"Un ex periodista frustrado de la gran ciudad ahora se quedó trabajando para un periódico Albuquerque explota una historia sobre un hombre atrapado en una cueva para reavivar su carrera, pero la situación rápidamente se convierte en un circo fuera de control.",Ace in the Hole,1951
Un criminal psicópata con un complejo madre hace un descanso atrevido de la prisión y lleva a su antigua pandilla en un atraco de nómina de planta química.,White Heat,1949
"La novelista de pulpa Holly Martins viaja a Shadowy, Postwar Viena, solo para encontrarse investigando la misteriosa muerte de un viejo amigo, Harry Lime.",The Third Man,1949
Un joven bailarín de ballet está dividido entre el hombre que ama y su búsqueda para convertirse en una bailarina prima.,The Red Shoes,1948
"Dos empleados en una tienda de regalos apenas pueden pararse entre sí, sin darse cuenta de que se están enamorando de la publicación como el amigo anónimo de los demás.",The Shop Around the Corner,1940
Una mujer autoconsciente hace malabares con su nuevo papel como la esposa de un aristócrata y evita ser intimidado por la presencia espectral de su primera esposa.,Rebecca,1940
"Se designa un hombre ingenuo para llenar una vacante en el Senado de los Estados Unidos.Sus planes chocan rápidamente con la corrupción política, pero no retrocede.",Mr. Smith Goes to Washington,1939
Una mujer manipuladora y un hombre pícaro conducen un romance turbulento durante los períodos de la Guerra Civil y la Reconstrucción de Estados Unidos.,Gone with the Wind,1939
"Durante la Primera Guerra Mundial, dos soldados franceses son capturados y encarcelados en un P.O.W. alemán.acampar.Siguen varios intentos de escape hasta que finalmente se envían a una fortaleza aparentemente ineludible.",La Grande Illusion,1937
"Un reportero renegado y una joven heredera loca se encuentran en un autobús que se dirige a Nueva York, y terminan atrapados entre sí cuando el autobús los deja en una de las paradas.",It Happened One Night,1934
"En 1431, Jeanne d'Arc es puesto en juicio por cargos de herejía.Los juristas eclesiásticos intentan obligar a Jeanne a retractarse de sus reclamos de visiones sagradas.",La passion de Jeanne d'Arc,1928
El vagabundo encuentra trabajo y la niña de sus sueños en un circo.,The Circus,1928
"Una historia alegórica sobre un hombre que lucha contra el bien y el mal dentro de él.Ambas partes se hacen carne, una mujer sofisticada a la que se siente atraída y la otra su esposa.",Sunrise: A Song of Two Humans,1927
"Cuando Union Spies roba la querida locomotora de un ingeniero, la persigue sin ayuda y directamente a través de líneas enemigas.",The General,1926
"El hipnotista Dr. Caligari usa un somnambulista, Cesare, para cometer asesinatos.",Das Cabinet des Dr. Caligari,1920
Un hombre está avergonzado cuando descubre que su madre está embarazada.,Badhaai ho,2018
"La historia de Togo, el perro trineo que dirigió la carrera de suero de 1925, pero que la mayoría era considerada demasiado pequeña y débil para llevar a una carrera tan intensa.",Togo,2019
"Cuando Iraq invade a Kuwait en agosto de 1990, un empresario indio insensible se convierte en el portavoz de más de 170,000 compatriotas varados.",Airlift,2016
Un hombre indio con un corazón magnánimo lleva a una joven muda paquistaní a su tierra natal para reunirla con su familia.,Bajrangi Bhaijaan,2015
"Una unidad de contrainteligencia de élite se entera de una trama, ideada por un loco maníaco.Con el reloj funcionando, depende de ellos rastrear los tentáculos internacionales de los terroristas y evitar que golpeen en el corazón de la India.",Baby,2015
"Mientras navegaba por sus carreras en Los Ángeles, un pianista y una actriz se enamoran mientras intentaban reconciliar sus aspiraciones para el futuro.",La La Land,2016
"Un niño indio de cinco años es adoptado por una pareja australiana después de perder cientos de kilómetros de casa.25 años después, se propone encontrar a su familia perdida.",Lion,2016
"Un astronauta queda varado en Marte después de que su equipo lo asume muerto, y debe confiar en su ingenio para encontrar una manera de señalar a la Tierra que está vivo.",The Martian,2015
"En una ciudad de animales antropomórficos, un policía novato y un cínico cínico Fox debe trabajar juntos para descubrir una conspiración.",Zootopia,2016
"En la antigua India, un hombre aventurero y atrevido se involucra en una disputa de décadas entre dos pueblos en guerra.",Bãhubali: The Beginning,2015
"Encontrado dentro de un brillante tallo de bambú por un viejo cortador de bambú y su esposa, una niña pequeña crece rápidamente en una joven exquisita.La misteriosa joven princesa cautiva a todos los que la encuentran, pero finalmente debe enfrentar su destino, el castigo por su crimen.",Kaguyahime no monogatari,2013
"Basado en el éxito de ventas del New York Times, esta película cuenta la historia increíblemente inspiradora y conmovedora de August Pullman, un niño con diferencias faciales que ingresan al quinto grado, asistiendo a una escuela primaria convencional por primera vez.",Wonder,2017
Una historia de la mayoría de edad basada en la vida de los raperos callejeros en Mumbai.,Gully Boy,2019
Una pandilla de estafadores roban prominentes empresarios y políticos ricos al hacerse pasar por C.B.I y oficiales de impuestos sobre la renta.,Special Chabbis,2013
Un miembro del personal supervisor de 20 y tantos de un centro de tratamiento residencial navega por las turbulentas aguas de ese mundo junto con su compañero de trabajo y su novio de toda la vida.,Short Term 12,2013
"Solo poco tiempo después de la primera incursión, Rama se va encubierto con los matones de Yakarta y planea derribar el sindicato y descubrir la corrupción dentro de su fuerza policial.",Serbuan maut 2: Berandal,2014
"Durante la Segunda Guerra Mundial, el genio matemático inglés Alan Turing intenta descifrar el Código de Enigma alemán con la ayuda de otros matemáticos.",The Imitation Game,2014
Un grupo de delincuentes intergalácticos debe unirse para detener a un guerrero fanático con planes de purgar el universo.,Guardians of the Galaxy,2014
"El descubrimiento de Young Blade Runner K de un secreto horneado desde hace mucho tiempo lo lleva a localizar al ex corredor de Blade Rick Deckard, quien ha estado desaparecido durante treinta años.",Blade Runner 2049,2017
"En un futuro cercano, un escritor solitario desarrolla una relación poco probable con un sistema operativo diseñado para satisfacer todas sus necesidades.",Her,2013
"La historia de la legendaria banda de rock británica reina y cantante principal Freddie Mercury, que llevó a su famosa actuación en Live Aid (1985).",Bohemian Rhapsody,2018
Un hombre de la frontera en una expedición de comercio de pieles en la década de 1820 lucha por la supervivencia después de ser mutilado por un oso y dejado por los miembros de su propio equipo de caza.,The Revenant,2015
Un estudiante de primer año introvertido es llevado bajo las alas de dos personas mayores que lo dan la bienvenida al mundo real,The Perks of Being a Wallflower,2012
"Después de un motín de prisión, el ex capitán Nascimento, ahora un oficial de seguridad de alto rango en Río de Janeiro, es barrido en una sangrienta disputa política que involucra a funcionarios gubernamentales y grupos paramilitares.",Tropa de Elite 2: O Inimigo Agora é Outro,2010
"La historia del rey Jorge VI, su ascensión improvisada al trono del Imperio Británico en 1936, y el terapeuta del habla que ayudó al monarca inseguro a superar su tartamudeo.",The King's Speech,2010
Un autor aspirante durante el movimiento de derechos civiles de la década de 1960 decide escribir un libro que detalla el punto de vista de las criadas afroamericanas sobre las familias blancas para las que trabajan y las dificultades que pasan a diario.,The Help,2011
"Se experimenta un mercenario brusco y se vuelve inmortal pero feo, y se propone rastrear al hombre que arruinó su apariencia.",Deadpool,2016
La misteriosa desaparición de una maestra de jardín de infantes durante un picnic en el norte de Irán es seguida por una serie de desventuras para sus compañeros de viaje.,Darbareye Elly,2009
"Después de romper con su novia de la infancia, un joven encuentra consuelo en las drogas.Mientras tanto, una adolescente está atrapada en el mundo de la prostitución.¿Serán destruidos o encontrarán redención?",Dev.D,2009
"Durante la invasión japonesa de China, un artista marcial rico se ve obligado a abandonar su hogar cuando su ciudad está ocupada.Con pocos medios para mantenerse a sí mismos, IP Man y los miembros restantes de la ciudad deben encontrar una manera de sobrevivir.",Yip Man,2008
Un hombre musulmán indio con el síndrome de Asperger toma un desafío para hablar en serio al presidente de los Estados Unidos y se embarca en un viaje a través del país.,My Name Is Khan,2010
Historia del grupo de trabajo turco de 40 hombres que debe defender una estación de relevos.,Nefes: Vatan Sagolsun,2009
"Un adolescente de Mumbai reflexiona sobre su vida después de ser acusado de engañar a la versión india de ""¿Quién quiere ser millonario?"".",Slumdog Millionaire,2008
"Una bailarina comprometida lucha por mantener su cordura después de ganar el papel principal en una producción de ""Swan Lake"" de Tchaikovsky.",Black Swan,2010
"En 1997, Río de Janeiro, el Capitán Nascimento tiene que encontrar un sustituto de su posición al tratar de eliminar a los traficantes de drogas y los delincuentes antes de que el Papa visite.",Tropa de Elite,2007
Los héroes más poderosos de la Tierra deben unirse y aprender a pelear como equipo si van a evitar que el travieso Loki y su ejército alienígena esclavizaran a la humanidad.,The Avengers,2012
Una niña iraní precoz y abierta crece durante la Revolución Islámica.,Persepolis,2007
"En 1985, Dallas, el electricista y Hustler Ron Woodroof trabajan alrededor del sistema para ayudar a los pacientes con SIDA a obtener el medicamento que necesitan después de que le diagnostican la enfermedad.",Dallas Buyers Club,2013
"Un vendedor con dificultades toma la custodia de su hijo, ya que está listo para comenzar una carrera profesional que cambia la vida.",The Pursuit of Happyness,2006
"Un pescador, un contrabandista y un sindicato de empresarios coinciden con la posesión de un diamante invaluable.",Blood Diamond,2006
Jason Bourne esquiva un despiadado C.I.A.El funcionario y sus agentes de un nuevo programa de asesinato mientras buscaban los orígenes de su vida como un asesino entrenado.,The Bourne Ultimatum,2007
Un joven transitorio irrumpe en casas vacías para participar de la vida de los residentes de vacaciones durante unos días.,Bin-jip,2004
"Una película que explora la ciudad oscura y miserable, Basin City, cuenta la historia de tres personas diferentes, todas atrapadas en una corrupción violenta.",Sin City,2005
"La verdadera historia del editor de Elle Jean-Dominique Bauby, que sufre un derrame cerebral y tiene que vivir con un cuerpo casi totalmente paralizado;Solo su ojo izquierdo no está paralizado.",Le scaphandre et le papillon,2007
Un joven turco elegante secuestrado por extraterrestres muestra su gran «espíritu humanitario» al burlar al malvado comandante en jefe del planeta de G.O.R.A.,G.O.R.A.,2004
Una rata que puede cocinar es una alianza inusual con un joven trabajador de la cocina en un famoso restaurante.,Ratatouille,2007
"Después de ganar el estado de 00 y una licencia para matar, el agente secreto James Bond se propone su primera misión como 007. Bond debe derrotar a un banquero privado que financie a los terroristas en un juego de póker de alto riesgo en Casino Royale, Montenegro.",Casino Royale,2006
"La novia continúa su búsqueda de venganza contra su antiguo jefe y amante Bill, el budd de gorila solitario y el traicionero y tipos Elle.",Kill Bill: Vol. 2,2004
"En el desierto ruso, dos hermanos enfrentan una variedad de emociones nuevas y conflictivas cuando su padre, un hombre que conocen solo a través de una sola fotografía, resuren.",Vozvrashchenie,2003
Un niño es criado por un monje budista en un templo flotante aislado donde pasan los años como las estaciones.,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003
"La historia fáctica del español Ramon Sampedro, quien luchó contra una campaña de treinta años a favor de la eutanasia y su propio derecho a morir.",Mar adentro,2014
"La historia de James J. Braddock, un boxeador supuestamente lavado que regresó para convertirse en un campeón y una inspiración en la década de 1930.",Cinderella Man,2005
"Naina, la vida de una niña introvertida y perpetuamente deprimida cuando conoce a Aman.Pero Aman tiene un secreto propio que cambia sus vidas para siempre.Ampliado en todo esto es Rohit, la mejor amiga de Naina que oculta su amor por ella.",Kal Ho Naa Ho,2003
Una historia entre un topo en el departamento de policía y un policía encubierto.Sus objetivos son los mismos: averiguar quién es el lunar y quién es el policía.,Mou gaan dou,2002
"Blacksmith Will Turner se une con el excéntrico ""Capitán"" del Pirata Jack Sparrow para salvar su amor, la hija del gobernador, de los antiguos aliados piratas de Jack, que ahora son no muertos.",Pirates of the Caribbean: The Curse of the Black Pearl,2003
Un hijo frustrado intenta determinar el hecho de la ficción en la vida de su padre moribundo.,Big Fish,2003
"Una familia de superhéroes encubiertos, mientras intenta vivir la vida suburbana tranquila, se ve obligada a acción para salvar al mundo.",The Incredibles,2004
"Un joven ve a una mujer borracha y linda parada demasiado cerca de las pistas en una estación de metro en Seúl y la saca de la espalda.Ella termina metiéndolo en problemas repetidamente después de eso, comenzando en el tren.",Yeopgijeogin geunyeo,2001
"Una mujer en la carrera de la mafia es aceptada de mala gana en una pequeña comunidad de Colorado a cambio de mano de obra, pero cuando una búsqueda visita la ciudad, descubre que su apoyo tiene un precio.",Dogville,2003
Vidas de los residentes en un pequeño cambio de la aldea de Anatolia cuando se les presenta la televisión,Vizontele,2001
"Después de escapar por poco de un extraño accidente, un adolescente con problemas está plagado de visiones de un hombre con un gran traje de conejo que lo manipula para cometer una serie de crímenes.",Donnie Darko,2001
"Un épico mosaico de personajes interrelacionados en busca de amor, perdón y significado en el valle de San Fernando.",Magnolia,1999
"Una niña de Europa del Este viaja a los Estados Unidos con su hijo pequeño, esperando que sea como una película de Hollywood.",Dancer in the Dark,2000
Un anciano hace un largo viaje por césped para reparar su relación con un hermano enfermo.,The Straight Story,1999
"Una cantante pop renuncia a su carrera para convertirse en actriz, pero lentamente se vuelve loca cuando comienza a ser acosada por un fanático obsesionado y lo que parece ser un fantasma de su pasado.",Pâfekuto burû,1997
"En la fiesta de cumpleaños número 60 de Helge, se revelan algunas verdades familiares desagradables.",Festen,1998
"Un viaje emotivo de un ex maestro de escuela, que escribe cartas para personas analfabetas, y un niño, cuya madre acaba de morir, mientras buscan al padre que nunca conoció.",Central do Brasil,1998
Un niño se hace amigo de un robot gigante del espacio exterior que un agente gubernamental paranoico quiere destruir.,The Iron Giant,1999
"Dos pacientes con enfermedades terminales escapan de un hospital, roban un automóvil y corren hacia el mar.",Knockin' on Heaven's Door,1997
"Karl Childers, un hombre simple hospitalizado desde su asesinato infantil de su madre y su amante, es dado de alta para comenzar una nueva vida en un pequeño pueblo.",Sling Blade,1996
"Tras la muerte de sus padres adoptivos, un exitoso joven optometrista negro establece contacto con su madre biológica, una trabajadora de fábrica blanca solitaria que vive en la pobreza en el este de Londres.",Secrets & Lies,1996
"En un mundo futuro devastado por la enfermedad, se envía a un convicto a tiempo para recopilar información sobre el virus provocado por el hombre que eliminó a la mayoría de la población humana del planeta.",Twelve Monkeys,1995
Una mujer policial cyborg y su compañero cazan un hacker misterioso y poderoso llamado The Puppet Master.,Kôkaku Kidôtai,1995
"Jack Skellington, rey de la ciudad de Halloween, descubre la ciudad de Navidad, pero sus intentos de traer la Navidad a su hogar causan confusión.",The Nightmare Before Christmas,1993
Un meteorólogo se encuentra inexplicablemente viviendo el mismo día una y otra vez.,Groundhog Day,1993
"Basado en las verdaderas experiencias de vida del poeta Jimmy Santiago Baca, la película se centra en los hermanos Paco y Cruz, y su primo bi-racial Miklo.",Bound by Honor,1993
"Un estudiante de preparación escolar que necesita dinero acepta ""cuidar"" a un hombre ciego, pero el trabajo no es lo que anticipó.",Scent of a Woman,1992
Un erizo de la calle de buen corazón y un gran Vizier hambriento de poder compiten por una lámpara mágica que tiene el poder de hacer realidad sus deseos más profundos.,Aladdin,1992
"El fiscal de distrito de Nueva Orleans, Jim Garrison, descubre que hay más en el asesinato de Kennedy que la historia oficial.",JFK,1991
Un príncipe maldijo para pasar sus días como un monstruo horrible se propone recuperar su humanidad al ganar el amor de una mujer joven.,Beauty and the Beast,1991
"El teniente John Dunbar, asignado a una remota puesto avanzado de la Guerra Civil occidental, se hace amigo de lobos e indios, convirtiéndolo en una aberración intolerable en el ejército.",Dances with Wolves,1990
"En el día más caluroso del año en una calle en la sección Bedford-Stuyvesant de Brooklyn, el odio y el fanatismo de todos arde y se construye hasta que explota a la violencia.",Do the Right Thing,1989
El padre egoísta yuppie Charlie Babbitt dejó una fortuna a su sabio hermano Raymond y una miseria a Charlie;Viajan a través del país.,Rain Man,1988
Un proyecto militar secreto pone en peligro a Neo-Tokyo cuando convierte a un miembro de una pandilla de motociclistas en un psicópata psíquico que solo puede ser detenido por dos adolescentes y un grupo de psíquicos.,Akira,1988
"Mientras está enfermo de la cama en la cama, el abuelo de un niño le lee la historia de un granjero convertido en pirata que encuentra numerosos obstáculos, enemigos y aliados en su búsqueda para reunirse con su verdadero amor.",The Princess Bride,1987
Un ángel neume para supervisar la actividad humana y desea volverse humano cuando se enamora de un mortal.,Der Himmel über Berlin,1987
"Un internado francés dirigido por sacerdotes parece ser un refugio de la Segunda Guerra Mundial hasta que llega un nuevo estudiante.Se convierte en el compañero de cuarto del mejor estudiante en su clase.Los rivales al principio, los compañeros de cuarto forman un vínculo y comparten un secreto.",Au revoir les enfants,1987
Un niño y una niña con un cristal mágico deben competir contra piratas y agentes extranjeros en la búsqueda de un legendario castillo flotante.,Tenkû no shiro Rapyuta,1986
"Se envía un soldado humano de 2029 a 1984 para detener una máquina de matar cyborg casi indestructible, enviada desde el mismo año, que ha sido programada para ejecutar a una joven cuyo hijo no nacido es la clave de la futura salvación de la humanidad.",The Terminator,1984
La vida del abogado que se convirtió en el famoso líder de las revueltas indias contra el gobierno británico a través de su filosofía de protesta no violenta.,Gandhi,1982
"Un ladrón mezquino con un total de parecido con un señor de la guerra samurai es contratado como el doble del Señor.Cuando el señor de la guerra más tarde muere, el ladrón se ve obligado a tomar las armas en su lugar.",Kagemusha,1980
Un jardinero protegido y de forma simple se convierte en un asesor de confianza poco probable para un hombre de negocios poderoso y una fuente en la política de Washington.,Being There,1979
El comediante neurótico de Nueva York Alvy Singer se enamora del ditzy Annie Hall.,Annie Hall,1977
"Cuando un tiburón asesino desata el caos en una comunidad de playa, depende de un sheriff local, un biólogo marino y un viejo marino para cazar a la bestia.",Jaws,1975
"Tres ladrones de bancos amateur planean mantener un banco.Un bonito robo simple: entra, toma el dinero y corre.Desafortunadamente, el atraco supuestamente sin complicaciones de repente se convierte en una pesadilla extraña como lo hace todo lo que podría salir mal.",Dog Day Afternoon,1975
"Un nieto estadounidense del infame científico, que lucha por demostrar que su abuelo no estaba tan loco como la gente cree, está invitado a Transilvania, donde descubre el proceso que reanimia un cadáver.",Young Frankenstein,1974
"Un hombre se hace amigo de un compañero criminal cuando los dos comienzan a cumplir su sentencia en una terrible isla de prisión, lo que inspira al hombre a planear su escape.",Papillon,1973
